,job_name,put_time,salary,city,city_zh,recruit_num,work_year,study,company,company_url,work_addr,jd,jd_duty,jd_require,workfare,job_url
109305465,OTC销售代表2019届大学生,2019-04-02,taizhoue,浙江省,6-8千/月,30人,无工作经验,大专,浙江京新药业股份有限公司,,上班地址 : 区域,"
职位描述：1、2019届应届毕业生，大专及以上学历；2、医学，药学，销售等相关专业；3、能吃苦耐劳，热爱销售工作，可以适应长期出差；4、具有良好的语言表达能力，沟通协调能力和团队合作能力；5、学生干部，党员优先考虑。岗位职责：1、完成公司下达的销售任务2、完成负责区域内药店的开发、上量、日常拜访及维护工作3、负责区域内药店的线下营销活动执行工作4、完成上级交办的其他工作 ",,,"['周末双休', '五险一金', '节日福利', '住房补贴', '带薪年假']",https://m.51job.com/jobs/zhejiangsheng/109305465.html
110807180,证券实习生,2019-04-02,shanghai,上海-松江区,1.5千以下/月,若干人,无工作经验,大专,光大证券股份有限公司上海人民北路证券营业部,,上班地址 : 人民北路151号10楼,"
岗位职责：1.协助业务发展部经理开展业务；2.协助财富经理外拓开展业务；3.学习并熟悉证券行业；4.每周至少工作3天。PS：通过本次实习，您将丰富自己的简历，并在实习过程中加深对证券行业的了解，获得更多的社会经验，有助于未来加入金融行业，若表现优异可推荐上分参加校招留用。 ",,,"['专业培训', '弹性工作']",https://m.51job.com/jobs/shanghai-sjq/110807180.html
108940707,业务代表,2019-04-02,jinzhong,晋中,6-8千/月,2人,,高中,山东农大肥业科技有限公司,,上班地址 : 晋中/阳泉,"
1、负责公司产品的销售及推广；2、开拓新市场,发展新客户,增加产品销售范围；3、负责销售区域内销售活动的策划和执行；4、管理维护客户关系以及客户间的长期战略合作计划。岗位要求：1、大专及以上学历，可放宽条件；2、2年以上农资行业销售工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；6、有团队协作精神，善于挑战。工作地点 ：山西晋中/阳泉/晋城/忻州。 ",,,"['五险', '包住', '餐饮补贴', '通讯补贴', '免费班车', '年终奖金', '绩效奖金']",https://m.51job.com/jobs/jinzhong/108940707.html
111921462,购车顾问-佛山-20351,2019-04-02,foshan,佛山-南海区,8-9.9千/月,3人,无工作经验,大专,优信集团,,上班地址 : 南海区罗村一中(桂丹路北),"
			岗位职责1、沟通总部下发的意向客户，了解和发掘客户需求，为客户提供专业的购车咨询服务；2、合理有效的利用总部下发客户资源，提高客户对优信的认同感；3、根据客户需求推荐合适车源，陪同客户实地了解车源和介绍沟通； 4、为客户提供良好的售后服务，维系客户关系；5、及时完成公司和上级领导安排的任务，分析并总结数据。1、沟通任职要求1、大专以上学历，市场营销、汽车相关专业及具有服务行业相关经验的优先，欢迎优秀应届生、实习生；2、性格活泼开朗，沟通能力强，对业绩有追求，抗压能力强；3、较强的服务意识， 热爱销售行业；4、有驾照的优先考虑			",,,"['五险一金', '补充医疗保险', '绩效奖金', '通讯补贴', '定期体检', '带薪年假', '交通补贴', '节日福利', '高温补贴']",https://m.51job.com/jobs/foshan-nhq/111921462.html
112124890,店长(J10843),2019-04-02,shangrao,上饶,0.8-1万/月,1人,,,好车酷酷二手车经纪（天津）有限公司,,上班地址 : 上饶市,"
工作职责:岗位职责：管理二手车云店团队，负责店面日常运营，并对云店业绩负责，带领团队：1.根据公司分发的资源与客户进行过沟通，了解客户需求；2.根据客户需求，给客户提供准确、合理的定制化方案；3.对淘车电商平台客户成交率负责；4.为客户提供专业化、高品质的二手车信息服务；5. 完成云店交易目标和金融转化率目标。任职资格:任职要求：1.5年以上销售经验，2年以上团队管理经验；2.学习力强，具备良好的沟通和谈判技巧，富有亲和力；3.擅长数据分析，反应敏捷，逻辑清晰，有较强的抗压能力和执行力；4.连锁零售店、汽车4S店、二手车销售管理相关背景优先；5.能接受内部调配。 ",,,"['五险一金', '补充医疗保险', '餐饮补贴', '交通补贴', '通讯补贴', '员工旅游', '弹性工作', '外资', '年终奖金']",https://m.51job.com/jobs/shangrao/112124890.html
112123784,业务代表（食品-河源龙川）,2019-04-02,heyuan,河源,3-4万/年,3人,,高中,广州王老吉药业股份有限公司营销中心食品事业部,,上班地址 : 龙川县,"
岗位职责:1、负责所辖区域内新客户的开发，维护老客户，进行销售网络布建； 2、依据公司总体销售策略，制定和实施所辖区域的行动计划； 3、执行公司各项政策，包括销售指标、行动计划目标及促销活动，并落实各项标准； 4、收集市场信息及重要客户销售数据，协助上级做好分析工作。  任职资格:1、一年以上快消品行业销售工作经验； 2、主动性强、能承受较大工作压力； 3、人品端正、诚实，具有良好的人际交往和业务执行能力。 ",,,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '带薪年假', '定期体检', '绩效奖金']",https://m.51job.com/jobs/heyuan/112123784.html
110681214,综合柜员岗（望江）,2019-04-02,anqing,安庆,4.5-6千/月,1人,,本科,新华人寿保险股份有限公司安徽分公司,,上班地址 : 迎江区皖江大道紫峰大厦1层2室,"
一、岗位要求(一)全日制本科及以上学历,专业不限；(二)品行端正,无不良记录;身体健康,仪表端庄;做地点(三)有较强的责任心、良好的敬业精神和团队协作能力;(四)工作地点：望江二、岗位职责1、受理和办理日常契约、保全、理赔、咨询投诉及附加值的一系列服务2、整理和临时保管契约、保全、理赔、咨诉等相关业务档案。三、福利待遇与公司签定劳动合同（非保险代理人合同/外包劳务合同），提供社会医疗保险、养老保险、失业保险、工伤保险、住房公积金及商业保险等待遇，并有发展和晋升空间。 ",,,"['周末双休', '带薪年假', '五险一金', '餐饮补贴', '专业培训', '节日福利', '高温补贴']",https://m.51job.com/jobs/anqing/110681214.html
92923197,KA业代,2019-04-02,qujing,曲靖,3-5千/月,2人,1年工作经验,大专,三全食品股份有限公司,,上班地址 : 曲靖,"
KA业代岗位职责： 　1、完成公司下达的销售指标，按时拜访区域内的重点客户，建立并发展有效的客情关系； 　2、严格执行重点客户生动化标准，全系列铺货，确保陈列位置、陈列排面、产品价格符合公司要求； 　3、积极挖掘客户潜能，提出建设性的卖场促销方案； 　4、及时反馈客户对公司价格、送货、质量、服务等方面的意见，迅速并令人满意地解决好客户的投诉问题； 　5、严格执行公司统一的KA活动计划； 　6、了解市场动向，收集竞品信息，及时向上级主管汇报，并提出合理的建议和对策。 　任职要求： 　1、1年以上快速消费品KA销售经验，熟悉营销知识和当地KA卖场； 　2、工作态度认真，能吃苦耐劳，具有开拓精神，不能接受出差者慎投； 　3、有良好的沟通协调能力，有较强的语言表达能力。工作地点：曲靖 ",,,"['弹性工作', '五险一金', '交通补贴', '通讯补贴', '绩效奖金', '节日福利', '专业培训']",https://m.51job.com/jobs/qujing/92923197.html
112125928,厂务工程师（机电暖通类）,2019-04-02,jinhua,宁波,3-4.5千/月,3人,无工作经验,本科,宁波环球广电科技有限公司,,上班地址 : 浙江省宁波市望春工业园区秋实路88号,"
岗位职责：1、熟知厂务工作整体操作流程；2、负责维护维修暖通、空压机、动力系统；3、新设备sop制作，厂区综合维护等；4、落实上级主管指派的其他任务与要求。任职资格：1、本科学历，暖通工程、热能与动力工程、机电、设备或自动化控制相关专业；2、会CAD制图，英语四级及以上，有电工上岗证；3、工作态度端正，良好的沟通能力，能承受较大的工作压力； ",,,"['五险一金', '免费班车', '专业培训', '定期体检', '年终奖金', '师徒制', '提供免费食宿']",https://m.51job.com/jobs/ningbo/112125928.html
75734994,消费金融专员,2019-04-02,harbin,哈尔滨,6-8千/月,5人,1年工作经验,本科,招商银行股份有限公司信用卡中心,,上班地址 : 哈尔滨市香坊区中山路172号常青大厦25层,"
			岗位要求：
1、全日制本科及以上学历，28周岁以下；
2、形象好、气质佳、品行端正、为人正直，无不良个人信用记录；
3、深度了解哈尔滨的汽车行业或房地产行业，曾就职于4S店或各大房地产信息门户网站（如搜房网）、房地产公司的人才优先考虑；
4、具有优秀的沟通表达能力和团队协作精神
5、具有良好的心理素质，能承受较强的工作压力，执行力强，能接受加班。

岗位职责：负责招商银行合作4S店的店面维护，负责服务客户申请汽车分期贷款业务

福利薪资及待遇
薪酬：
基本工资+岗位津贴+奖金（月提成+月激励+季度奖金+特殊产品奖金）+年终激励
福利：
1、入职即缴纳完善的社会保险（养老、医疗、工伤、失业、生育保险）和住房公积金。
2、为每位正式入职员工量身定做行服（每两年一次）
3、服务一年以上在职员工每年享受体检
4、逢重大节日，为每位员工发放节日礼品
5、不定期举行丰富多彩的企业文化活动
6、享受带薪年假及法定节假日、年假、婚假、产假等《劳动法》规定的相关假期

完善的培训及合理的晋升
1、为每位员工提供一个月专业的职前培训（无责任+辅导员一对一带教）
2、入职后每月系统在职培训、月度经验分享会及持续的回炉强化培训
3、不定期举办行员内部竞聘，为每位员工提供广阔的发展平台和公平的晋升空间

业务路线：市场外拓人员、消费金融专员、信用卡业务代表
管理路线：商务主任、商务经理			",,,"['绩效奖金', '节日福利', '专业培训', '带薪年假', '五险一金']",https://m.51job.com/jobs/harbin/75734994.html
112125371,财务经理,2019-04-02,yingkou,营口,8-10万/年,1人,8-9年工作经验,大专,营口中储物流有限公司,,上班地址 : 辽宁省营口市鲅鱼圈区高速公路北500米,"
任职要求：1、8年以上财务相关工作经验，5年以上财务管理相关工作经验。有物流相关财务工作经验者优先。2、财会、金融、经济、管理等相关专业大专以上学历，有注册会计师资格者优先；3、熟悉国家金融政策、企业财务制度及流程、会计电算化，精通相关财税法律法规；4、较强的成本管理、风险控制和财务分析的能力；5、良好的组织、协调、沟通能力，和团队协作精神，能承受较大工作压力。财务经理岗位职责一、严格遵守国家财经法规、财务工作规定和公司相关制度，遵守职业道德;建立健全公司财务管理、会计核算、稽核审计等有关制度，监督各项制度的实施和执行。二、组织编制公司年、季度成本、利润、资金、费用等有关的财务指标计划，定期检查、监督、考核计划的执行情况，及时调整和控制计划的实施。三、组织财会人员正确、及时、完整地处理账务，办理现金收支和银行结算等业务，及时进行账务登记。四、加强财务监管，认真履行财务收支审批手续和费用报销制度，正确合理调度资金，保证日常合理开支需要的正常供给。五、负责固定资产、流动资金及专项基金的管理，会同有关部门办理固定资产的购建、转移、报废等财务审核手续。六、搞好会计核算，及时提供真实的会计核算资料;组织经济活动分析，编写经济活动分析告，提出改进意见和建议，为公司生产经营决策提供依据。七、审核年、季、月度各种财务会计报表，搞好年度会计决算工作。八、组织实施公司财务审计和会计稽核工作。九、认真完成领导交办的其它工作任务。 ",,,"['五险一金', '带薪年假', '免费班车', '专业培训', '节日福利', '绩效奖金', '公司旅游', '年终奖金']",https://m.51job.com/jobs/yingkou/112125371.html
111235947,淘宝店铺运营专员,2019-04-02,liuzhou,柳州,3-4.5千/月,2人,,,广西阿佳希科技股份有限公司,,上班地址 : 柳州市高新一路15号柳州信息产业园B4-14-22,"
1、负责店面日常改版策划、上架、推广、营销、售后服务等日常运作。2、根据品台客群进行新品选品，确保每期活动有新品，管理商品资料和数据，制作报表等。3、对产品定价提出自己的方案，确保自己业务单元的利润最大化。4、公司内协商沟通工作及与品牌方销售沟通，对接微信群关注跟进。任职要求：1、年龄不限，应届生，男女不限，对传统电商、社交电商及内容电商平台等有工作经验优先考虑。2、工作效率高，对数据敏感，认真仔细。4、善于沟通，理解能力强；平台\品牌方对接态度良好、积极、友好 。5、良好的审美能力及时尚触觉。6、熟悉办公软件：office系列的word, excel，ppt等。公司福利：1、工作时间:上午8: 30-12: 00，下午14: 30-17:30; 时间后面会有调节。2、国家法定节假日，保密津贴。3、待遇:底薪+分红模式4、工作环境:扁平化人性化管理，上班不打卡。 ",,,"['弹性工作', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '交通补贴', '餐饮补贴', '通讯补贴', '加班补贴']",https://m.51job.com/jobs/liuzhou/111235947.html
